Date;Close;CloseDolar
2005-06-09;19.58;7.84
2005-06-10;19.62;7.93
2005-06-13;19.64;8.02
2005-06-14;19.56;8.03
2005-06-15;19.76;8.11
2005-06-16;19.83;8.24
2005-06-17;19.7;8.25
2005-06-20;19.72;8.24
2005-06-21;19.72;8.31
2005-06-22;19.76;8.3
2005-06-23;19.72;8.22
2005-06-24;19.69;8.27
2005-06-27;19.73;8.31
2005-06-28;19.64;8.3
2005-06-29;19.66;8.35
2005-06-30;19.7;8.44
2005-07-01;19.65;8.34
2005-07-04;19.59;8.28
2005-07-05;19.57;8.23
2005-07-06;19.54;8.16
2005-07-07;19.56;8.23
2005-07-08;19.57;8.24
2005-07-11;19.56;8.36
2005-07-12;19.48;8.31
2005-07-13;19.5;8.28
2005-07-14;19.43;8.32
2005-07-15;19.32;8.26
2005-07-18;19.37;8.29
2005-07-19;19.29;8.24
2005-07-20;19;8.1
2005-07-21;18.94;8.03
2005-07-22;18.92;7.89
2005-07-25;18.88;7.67
2005-07-26;18.86;7.69
2005-07-27;18.81;7.71
2005-07-28;18.88;7.84
2005-07-29;18.83;7.91
2005-08-01;18.86;7.97
2005-08-02;18.83;8.04
2005-08-03;18.71;8.1
2005-08-04;18.82;8.17
2005-08-05;18.82;8.15
2005-08-08;18.76;8.05
2005-08-09;18.75;8.17
2005-08-10;18.76;8.23
2005-08-11;18.71;7.97
2005-08-12;18.68;7.87
2005-08-15;18.65;8.01
2005-08-16;18.57;7.88
2005-08-17;18.48;7.85
2005-08-18;18.48;7.76
2005-08-19;18.47;7.54
2005-08-22;18.5;7.76
2005-08-23;18.48;7.67
2005-08-24;18.54;7.6
2005-08-25;18.58;7.75
2005-08-26;18.6;7.74
2005-08-29;18.59;7.79
2005-08-30;18.55;7.78
2005-08-31;18.61;7.89
2005-09-01;18.58;7.87
2005-09-02;18.55;7.96
2005-09-05;18.51;7.92
2005-09-06;18.53;7.97
2005-09-08;18.46;7.95
2005-09-09;18.37;7.95
2005-09-12;18.33;7.89
2005-09-13;18.38;7.9
2005-09-14;18.34;7.88
2005-09-15;18.35;7.99
2005-09-16;18.34;7.98
2005-09-19;18.27;7.96
2005-09-20;18.38;7.99
2005-09-21;18.38;8.08
2005-09-22;18.32;8.05
2005-09-23;18.34;8.1
2005-09-26;18.27;8.12
2005-09-27;18.31;8.11
2005-09-28;18.26;8.17
2005-09-29;18.13;8.09
2005-09-30;18.18;8.15
2005-10-03;18.09;8.11
2005-10-04;18.06;7.99
2005-10-05;18.1;7.98
2005-10-06;18.1;7.9
2005-10-07;18.03;8.01
2005-10-10;18.09;8.08
2005-10-11;18.04;8.07
2005-10-13;18.06;8
2005-10-14;17.94;7.99
2005-10-17;18.01;8.05
2005-10-18;17.91;7.99
2005-10-19;17.81;7.92
2005-10-20;17.65;7.85
2005-10-21;17.53;7.73
2005-10-24;17.46;7.72
2005-10-25;17.45;7.71
2005-10-26;17.51;7.68
2005-10-27;17.41;7.6
2005-10-28;17.3;7.64
2005-10-31;16.98;7.54
2005-11-01;16.94;7.54
2005-11-03;16.79;7.56
2005-11-04;16.81;7.6
2005-11-07;16.69;7.58
2005-11-08;16.82;7.66
2005-11-09;16.71;7.67
2005-11-10;16.68;7.69
2005-11-11;16.48;7.62
2005-11-14;16.44;7.44
2005-11-16;16.53;7.5
2005-11-17;16.53;7.55
2005-11-18;16.57;7.44
2005-11-21;16.44;7.39
2005-11-22;16.41;7.3
2005-11-23;16.36;7.3
2005-11-24;16.29;7.26
2005-11-25;16.21;7.26
2005-11-28;16.14;7.33
2005-11-29;16.08;7.35
2005-11-30;16.02;7.26
2005-12-01;16.03;7.22
2005-12-02;16;7.24
2005-12-05;16.12;7.34
2005-12-06;16.16;7.42
2005-12-07;16.08;7.33
2005-12-08;16.3;7.33
2005-12-09;16.3;7.23
2005-12-12;16.21;7.17
2005-12-13;16.26;7.18
2005-12-14;16.57;7.26
2005-12-15;16.83;7.32
2005-12-16;16.74;7.16
2005-12-19;17.01;7.14
2005-12-20;17.13;7.3
2005-12-21;17.16;7.44
2005-12-22;17.28;7.42
2005-12-23;17.35;7.48
2005-12-26;17.35;7.42
2005-12-27;17.5;7.49
2005-12-28;17.51;7.47
2005-12-29;17.55;7.55
2006-01-02;17.6;7.52
2006-01-03;17.64;7.57
2006-01-04;17.71;7.73
2006-01-05;17.87;7.81
2006-01-06;17.94;7.86
2006-01-09;18.03;8.01
2006-01-10;18.06;7.98
2006-01-11;17.79;7.79
2006-01-12;17.65;7.79
2006-01-13;17.79;7.81
2006-01-16;17.79;7.82
2006-01-17;17.62;7.62
2006-01-18;17.75;7.64
2006-01-19;17.6;7.56
2006-01-20;17.5;7.68
2006-01-23;17.33;7.68
2006-01-24;17.19;7.66
2006-01-25;17.24;7.67
2006-01-26;17.11;7.67
2006-01-27;17.06;7.7
2006-01-30;17.01;7.67
2006-01-31;16.91;7.63
2006-02-01;16.99;7.64
2006-02-02;17.07;7.67
2006-02-03;16.95;7.67
2006-02-06;16.73;7.66
2006-02-07;16.69;7.63
2006-02-08;16.58;7.59
2006-02-09;16.54;7.62
2006-02-10;16.52;7.63
2006-02-13;16.51;7.67
2006-02-14;16.33;7.64
2006-02-15;16.32;7.64
2006-02-16;16.3;7.7
2006-02-17;16.33;7.68
2006-02-20;16.29;7.69
2006-02-21;16.33;7.58
2006-02-22;16.32;7.62
2006-02-23;16.32;7.62
2006-02-24;16.29;7.61
2006-03-01;16.26;7.68
2006-03-02;16.06;7.61
2006-03-03;15.94;7.55
2006-03-06;15.86;7.4
2006-03-07;15.76;7.27
2006-03-08;15.5;7.09
2006-03-09;15.42;7.14
2006-03-10;15.41;7.2
2006-03-13;15.21;7.13
2006-03-14;15.08;7.09
2006-03-15;14.62;6.89
2006-03-16;14.19;6.73
2006-03-17;14.3;6.73
2006-03-20;14.32;6.66
2006-03-21;14.09;6.48
2006-03-22;13.74;6.38
2006-03-23;13.77;6.37
2006-03-24;13.7;6.36
2006-03-27;13.5;6.22
2006-03-28;13.5;6.11
2006-03-29;13.44;6.07
2006-03-30;13.32;6.08
2006-03-31;13.33;6.16
2006-04-03;13.34;6.24
2006-04-04;13.38;6.27
2006-04-05;13.47;6.31
2006-04-06;13.43;6.3
2006-04-07;13.45;6.26
2006-04-10;13.49;6.26
2006-04-11;13.89;6.49
